L_um,W_um,Vth_at_VDS1_V,VGS_V,VOV_at_VDS1_V,ID_at_0p6V_A,ID_at_2V_A,gds_S,lambda_per_V,ID_at_1p5V_A,ro_ohm
1,10,0.536,1.036,0.500,0.0001546158777152317,0.0001595005406340245,3.489044941994862e-06,0.0228756155230745,0.000158519252715,275768.841743
2,20,0.518,1.018,0.500,0.0001629241489739651,0.0001663739383988582,2.464135303495104e-06,0.01526293853032842,0.000165615160626,395604.984282
5,50,0.506,1.006,0.500,0.0001679381978014307,0.0001703583630490651,1.728689462596013e-06,0.01035757501173863,0.000169750239225,568763.237684
10,100,0.502,1.002,0.500,0.0001697399019466241,0.0001716700245012259,1.378658967572738e-06,0.008161961261531216,0.000171163089482,715806.032227
20,200,0.500,1.000,0.500,0.0001706619046581114,0.0001721981805997286,1.097339958297994e-06,0.006454808012120366,0.000171800114967,901764.678886
