L_um,W_um,Vth_at_VDS1_V,VGS_V,VOV_at_VDS1_V,ID_at_0p6V_A,ID_at_2V_A,gds_S,lambda_per_V,ID_at_1p3V_A,ro_ohm
1,10,0.536,1.036,0.500,0.0001546158777152317,0.0001595005406340245,3.489044941994862e-06,0.0228756155230745,0.0001580365622636631,276611.1214335569
2,20,0.518,1.018,0.500,0.0001629241489739651,0.0001663739383988582,2.464135303495104e-06,0.01526293853032842,0.000165260819725891,396453.2133217938
5,50,0.506,1.006,0.500,0.0001679381978014307,0.0001703583630490651,1.728689462596013e-06,0.01035757501173863,0.0001694851836443608,569652.7187988631
10,100,0.502,1.002,0.500,0.0001697399019466241,0.0001716700245012259,1.378658967572738e-06,0.008161961261531216,0.0001709481928687965,716705.8621070713
20,200,0.500,1.000,0.500,0.0001706619046581114,0.0001721981805997286,1.097339958297994e-06,0.006454808012120366,0.0001716328013187528,902643.7505862913
