VDS_V,ID_L1um_uA,ID_L2um_uA,ID_L5um_uA,ID_L10um_uA,ID_L20um_uA
1.62,158.7777058,165.8100763,169.9015354,171.287619,171.8974879
1.63,158.7984234,165.8258584,169.9139474,171.2978888,171.9055313
1.64,158.8190267,165.8415765,169.9263324,171.3081439,171.9135653
1.65,158.8395179,165.8572319,169.9386911,171.3183848,171.92159
1.66,158.8598993,165.8728258,169.951024,171.3286117,171.9296058
1.67,158.8801731,165.8883596,169.9633318,171.3388252,171.9376128
1.68,158.9003414,165.9038345,169.9756148,171.3490254,171.9456114
1.69,158.9204061,165.9192516,169.9878738,171.3592127,171.9536017
1.7,158.9403695,165.9346121,170.0001093,171.3693874,171.9615839
1.71,158.9602333,165.9499171,170.0123216,171.3795498,171.9695584
1.72,158.9799996,165.9651678,170.0245114,171.3897002,171.9775252
1.73,158.9996702,165.9803653,170.0366792,171.399839,171.9854846
1.74,159.019247,165.9955104,170.0488253,171.4099662,171.9934368
1.75,159.0387317,166.0106044,170.0609503,171.4200824,172.0013819
1.76,159.0581261,166.0256482,170.0730546,171.4301876,172.0093202
1.77,159.0774319,166.0406428,170.0851386,171.4402822,172.0172518
1.78,159.0966507,166.055589,170.0972028,171.4503664,172.025177
1.79,159.1157843,166.070488,170.1092476,171.4604404,172.0330957
1.8,159.1348343,166.0853406,170.1212733,171.4705046,172.0410084
1.81,159.1538022,166.1001477,170.1332805,171.480559,172.048915
1.82,159.1726895,166.1149101,170.1452695,171.490604,172.0568157
1.83,159.1914979,166.1296288,170.1572406,171.5006397,172.0647108
1.84,159.2102287,166.1443046,170.1691942,171.5106663,172.0726002
1.85,159.2288836,166.1589384,170.1811308,171.5206842,172.0804843
1.86,159.2474639,166.1735309,170.1930506,171.5306934,172.088363
1.87,159.2659711,166.188083,170.2049541,171.5406942,172.0962366
1.88,159.2844066,166.2025955,170.2168415,171.5506868,172.1041052
1.89,159.3027718,166.2170692,170.2287133,171.5606714,172.1119688
1.9,159.3210681,166.2315049,170.2405697,171.5706481,172.1198277
1.91,159.3392969,166.2459033,170.2524111,171.5806172,172.127682
1.92,159.3574595,166.2602652,170.2642378,171.5905788,172.1355317
1.93,159.3755573,166.2745914,170.2760502,171.6005331,172.1433771
1.94,159.3935916,166.2888826,170.2878486,171.6104803,172.1512181
1.95,159.4115639,166.3031397,170.2996334,171.6204206,172.159055
1.96,159.4294754,166.3173633,170.3114047,171.6303542,172.1668878
1.97,159.4473274,166.3315542,170.323163,171.6402812,172.1747166
1.98,159.4651214,166.3457132,170.3349087,171.6502018,172.1825416
1.99,159.4828587,166.359841,170.3466419,171.6601162,172.1903629
2,159.5005406,166.3739384,170.358363,171.6700245,172.1981806
